HIP     Vmag    RA             DE       Plx     pmRA     pmDE   e_Plx   B-V
2       9.27    0.003797    -19.498837  21.90   181.21  -0.93   3.10    0.999
38      8.65    0.111047    -79.061831  23.84   162.30  -62.40  0.78    0.778
47      10.78   0.135192    -56.835248  24.45   -44.21  -145.90 1.97    1.150
54      10.57   0.151656    17.968956   20.97   367.14  -19.49  1.71    1.030
74      9.93    0.221873    35.752722   24.22   157.73  -40.31  1.36    1.068
81      8.57    0.243864    -4.932115   23.43   -184.70 -172.67 1.28    0.642
10278   7.89    33.086270   -46.816222  23.02   -30.60  -67.25  0.84    0.667
10305   5.65    33.197180   -2.393460   21.71   374.41  -73.08  1.67    0.546
10322   7.00    33.232392   57.205023   24.38   267.14  -217.05 0.82    0.651
10332   11.42   33.281209   58.079966   23.29   -11.12  31.89   7.15    
10385   10.87   33.439303   -33.405938  20.25   174.98  -0.45   2.11    1.097
10403   6.05    33.510536   47.484387   24.07   -82.13  -60.10  0.96    0.406
10492   8.07    33.817351   -23.281407  23.06   68.14   14.59   1.09    0.737
10532   9.11    33.923787   -9.013143   21.72   28.32   9.47    1.49    0.880
