	Hip	V	RA (deg)	Dec (deg)	Par(mas)	B-V	M_V	Sp

 	38	8.65	0.11104694	-79.06183133	23.84	5.54	0.78	

 	57	8.27	0.16828557	-69.67580068	33.89	5.92	0.86	

 	58	7.05	0.17376341	62.17600484	26.06	4.13	0.52	

 	128	6.5	0.41376473	73.61187664	15.2	2.41	0.18	

 	142	7.33	0.45374866	66.30600204	16.04	3.36	0.73	

 	159	6.93	0.51081115	-2.76616306	16.92	3.07	0.29	

 	184	8.48	0.58977565	11.00634091	29.75	5.85	0.89	

 	194	5.7	0.62398938	8.48557854	26.53	2.82	0.32	

 	296	8.24	0.92207847	-28.39584776	25.29	5.25	0.78	

 	400	7.82	1.23366004	23.26964739	39.06	5.78	0.76	

 	407	8.13	1.24427458	-70.21220744	22.09	4.85	0.71	

 	413	7.73	1.26034142	-36.01527326	19.78	4.21	0.54	

 	420	7.53	1.28166779	-52.15142338	23.9	4.42	0.58	

 	428	9.95	1.29233645	45.78693438	86.98	9.65	1.47	

 	436	8.49	1.32445343	-67.8312267	62.48	7.47	1.08	

 	462	7.13	1.37961808	-9.61729691	19.81	3.61	0.45	

 	475	8.22	1.42333268	58.31365552	21.03	4.83	0.64	

 	490	7.51	1.46861724	-41.7528821	24.85	4.49	0.59	

 	522	5.7	1.5777634	-49.07509405	39.0	3.66	0.52	

 	523	12.17	1.5787602	-65.83919547	56.92	10.95	1.55	

 	544	6.07	1.65221045	29.02193518	72.98	5.39	0.75	

 	560	6.19	1.70843563	-23.10742543	25.59	3.23	0.39	

 	606	7.06	1.84336535	-25.35632439	20.63	3.63	0.46	

 	616	8.7	1.88473813	-23.8189432	30.76	6.14	0.8	

 	641	7.82	1.96614972	55.57701937	21.83	4.52	0.61	

 	669	7.04	2.06820906	-14.82446576	36.18	4.83	0.62	

 	682	7.59	2.10705914	6.6168073	25.15	4.59	0.63	

 	687	10.73	2.11390101	17.42445447	45.64	9.03	1.46	

 	699	6.21	2.17092314	36.62742794	30.26	3.61	0.5	

 	705	8.41	2.1974024	86.78789828	16.24	4.46	0.59	

 	746	2.28	2.29204036	59.15021814	59.89	1.17	0.38	

 	755	7.02	2.31906353	65.07079864	17.03	3.18	0.93	

 	759	7.07	2.33100682	17.53423872	19.28	3.5	0.64	

 	814	5.29	2.50945435	-82.22399743	13.45	0.93	1.05	

 	870	7.51	2.6697124	2.05549803	18.2	3.81	0.5	

 	873	5.84	2.67810574	-12.57980381	15.35	1.77	1.0	

 	910	4.89	2.81628415	-15.46732287	52.94	3.51	0.49	

 	919	7.95	2.8428974	30.44948927	29.35	5.29	0.76	

 	920	8.23	2.85187794	23.81814771	18.6	4.58	0.58	

 	929	8.34	2.88657321	-58.90982912	17.0	4.49	0.62	

 	934	9.04	2.89853096	-57.47238652	27.46	6.23	0.89	

 	950	5.24	2.93286698	-35.13339606	45.85	3.55	0.46	

 	1031	7.22	3.20991289	-57.91269485	49.18	5.68	0.78	

 	1085	9.05	3.37844842	-40.3583852	30.0	6.44	0.91	

 	1086	5.71	3.37889713	41.03572671	28.57	2.99	0.33	

 	1113	8.76	3.47011668	-74.68817231	22.86	5.56	0.74	

 	1128	8.36	3.5176132	-11.31111824	23.68	5.23	0.65	

 	1140	6.66	3.5612937	-55.06959061	21.62	3.33	0.46	

 	1147	6.89	3.5868599	-21.19639424	18.19	3.19	0.5	

 	1206	8.57	3.76898965	-68.53023276	22.9	5.37	0.69	

 	1292	6.59	4.04683817	-79.85104079	56.76	5.36	0.75	

 	1294	8.79	4.04772248	30.53248386	23.91	5.68	0.96	

 	1347	8.67	4.21891882	81.66369004	30.0	6.06	0.85	

 	1368	8.99	4.27473316	40.94809407	66.71	8.11	1.37	

 	1382	7.96	4.31752626	-43.85269422	27.32	5.14	0.65	

 	1402	6.46	4.38621007	-19.05108585	20.47	3.02	0.39	

 	1427	7.21	4.45769929	16.33108213	21.66	3.89	0.48	

 	1444	6.51	4.49430346	-13.45563887	38.24	4.42	0.6	

 	1463	10.88	4.56912088	10.20286093	61.67	9.83	1.48	

 	1473	4.51	4.58210555	36.7853273	23.11	1.33	0.05	

 	1481	7.46	4.60835719	-63.47735107	24.42	4.4	0.54	

 	1499	6.47	4.67342336	-8.05265094	42.67	4.62	0.67	

 	1532	9.9	4.77326587	-9.96411989	48.17	8.31	1.32	

 	1573	7.03	4.90192752	-7.2236756	21.59	3.7	0.51	

 	1582	7.97	4.9531931	-60.91218601	16.31	4.03	0.55	

 	1598	6.97	5.00213822	38.22806865	40.25	4.99	0.64	

